,parcel_id,tax_total,fips,num_bedroom,num_bathroom,tax_delinquency_flag,area_living_finished_total,area_lot,pct_change
4,11324547,291973,Los Angeles County,4,2,,3633,9826,2.815725304
7,11585547,637046,Los Angeles County,3,2,,2077,6490,2.815725304
19,12716947,166927,Los Angeles County,3,1,,1244,6021,2.815725304
20,12757147,229763,Los Angeles County,3,2,,1300,4917,2.815725304
21,12757947,286129,Los Angeles County,3,2,,1222,5500,2.815725304
23,13871747,529869,Orange County,3,2.5,,1821,2442,0.014699866
24,13951347,635302,Orange County,4,3.5,,2684,3510,0.014699866
25,13963347,920319,Orange County,3,2.5,,2284,3398,0.014699866
27,14310947,1401383,Orange County,4,3,,2642,3663,0.014699866
30,14358747,994000,Orange County,4,3,,2536,4554,0.014699866
31,14459947,628108,Orange County,2,2,,1970,3856,0.014699866
37,76914347,37548,Los Angeles County,2,1,,725,5649,2.815725304
38,76914747,209415,Los Angeles County,4,2,,2143,5063,2.815725304
40,17052152,783000,Ventura County,3,2,,1800,19323,1.620430386
41,17052992,87400,Ventura County,2,1,,780,6900,1.620430386
42,17053038,229920,Ventura County,2,2,,1250,4125,1.620430386
43,17053061,309132,Ventura County,2,1,,1404,7500,1.620430386
44,17053543,595706,Ventura County,3,2,,1505,10383,1.620430386
45,17054185,60087,Ventura County,3,2,,1181,13539,1.620430386
46,17054285,444166,Ventura County,4,3,,2025,10752,1.620430386
47,17054331,363915,Ventura County,4,2.5,,1620,8531,1.620430386
48,17054431,292166,Ventura County,3,2.5,,2148,22978,1.620430386
52,17055279,192470,Ventura County,2,1,,1089,6661,1.620430386
53,17055559,386107,Ventura County,1,1.5,,1440,11795,1.620430386
56,17055743,429608,Ventura County,3,2,,1444,7108,1.620430386
57,17055981,227929,Ventura County,2,1,,1116,8982,1.620430386
58,17056295,283081,Ventura County,3,2,,1197,8190,1.620430386
59,17056441,420003,Ventura County,3,2,,1204,9750,1.620430386
60,17056517,219191,Ventura County,2,1,,1411,13825,1.620430386
61,17057038,149091,Ventura County,2,1,,1050,10027,1.620430386
62,17057769,840854,Ventura County,2,2,,1754,23086,1.620430386
65,17058148,122060,Ventura County,3,2,,1023,9000,1.620430386
66,17058568,186051,Ventura County,3,1,,1056,6600,1.620430386
67,17059050,458473,Ventura County,3,2,,1583,8000,1.620430386
69,17060107,170562,Ventura County,4,2,,2245,24139,1.620430386
72,17061468,205100,Ventura County,4,2,,1607,5663,1.620430386
73,17061867,665444,Ventura County,3,2,,2266,24402,1.620430386
74,17063007,175435,Ventura County,3,2,,1456,11000,1.620430386
75,17063769,293148,Ventura County,3,2,,1746,6600,1.620430386
76,17064022,70218,Ventura County,3,2,,1396,4680,1.620430386
77,17064099,69365,Ventura County,6,3,,2141,24557,1.620430386
78,17064321,61367,Ventura County,2,1,,552,6766,1.620430386
79,17064919,185307,Ventura County,3,1,,1080,6730,1.620430386
80,17064942,331000,Ventura County,3,1,,1080,6728,1.620430386
82,17068109,282303,Ventura County,3,1.5,,1698,2588,1.620430386
83,17069169,183117,Ventura County,3,1,,1058,5783,1.620430386
84,17070219,280826,Ventura County,3,2,,1688,5940,1.620430386
85,17070342,53864,Ventura County,3,2,,1066,7550,1.620430386
86,17071090,74360,Ventura County,4,2,,1800,12195,1.620430386
87,17071573,314435,Ventura County,3,2.5,,1963,19752,1.620430386
88,17071718,721000,Ventura County,4,2,,1940,7560,1.620430386
89,17071879,693925,Ventura County,4,2,,1844,11185,1.620430386
90,17071902,253756,Ventura County,3,2.5,,1706,8709,1.620430386
91,17072099,146117,Ventura County,3,1,,1176,7018,1.620430386
92,17072213,29492,Ventura County,3,2,,1379,5650,1.620430386
93,17072893,180287,Ventura County,3,1,,1019,5523,1.620430386
94,17073008,171856,Ventura County,2,1,,870,6059,1.620430386
95,17073230,285718,Ventura County,3,1.5,,1040,7800,1.620430386
96,17073299,41728,Ventura County,3,1,,996,6825,1.620430386
97,17073391,386646,Ventura County,4,2,,1536,7169,1.620430386
98,17073537,188750,Ventura County,3,2,,1392,6885,1.620430386
99,17073829,453597,Ventura County,3,2.5,,2162,16830,1.620430386
100,17074134,148884,Ventura County,4,2.5,,2016,21988,1.620430386
101,17074257,246355,Ventura County,4,2.5,,3046,15476,1.620430386
102,17074479,142114,Ventura County,5,1,,1040,6376,1.620430386
103,17074853,158988,Ventura County,2,1,,862,4666,1.620430386
104,17075613,410155,Ventura County,2,2,,1504,15663,1.620430386
105,17076087,709000,Ventura County,3,2,,1144,8059,1.620430386
106,17076210,420930,Ventura County,4,3,,2408,6250,1.620430386
107,17076648,450000,Ventura County,2,1,,950,4165,1.620430386
108,17076686,482022,Ventura County,3,2.5,,1400,6300,1.620430386
109,17076853,77077,Ventura County,2,1,,1348,9343,1.620430386
110,17077980,463588,Ventura County,3,2,,1475,7031,1.620430386
111,17078080,58250,Ventura County,2,1.5,,1245,11099,1.620430386
112,17078103,577471,Ventura County,3,3,,2597,5631,1.620430386
113,17078502,584025,Ventura County,2,1,,1170,5643,1.620430386
114,17078624,404098,Ventura County,3,2,,1767,5643,1.620430386
115,17078677,271011,Ventura County,3,2,,1314,5643,1.620430386
116,17078989,224957,Ventura County,5,3,,1527,5984,1.620430386
117,17079209,455949,Ventura County,3,2,,1257,5000,1.620430386
118,17079308,199265,Ventura County,2,1,,889,5438,1.620430386
119,17079346,39668,Ventura County,2,1,,1038,6100,1.620430386
120,17080022,500000,Ventura County,2,2,,1102,6324,1.620430386
121,17080314,115883,Ventura County,4,2,,1293,5600,1.620430386
122,17080644,526000,Ventura County,3,2,,1706,6104,1.620430386
123,17081686,494223,Ventura County,3,2,,1465,4000,1.620430386
124,17082043,425876,Ventura County,3,1,,1239,7316,1.620430386
125,17082157,442892,Ventura County,3,2,,1445,7200,1.620430386
126,17082226,447586,Ventura County,3,2,,1766,7586,1.620430386
127,17082694,620721,Ventura County,4,2.5,,3054,14537,1.620430386
128,17082901,219085,Ventura County,2,1,,1026,6798,1.620430386
129,17083061,146671,Ventura County,4,4,,2522,9234,1.620430386
130,17083414,349124,Ventura County,4,1.5,,1763,6412,1.620430386
131,17084238,104881,Ventura County,4,2,,1353,7000,1.620430386
132,17084291,158259,Ventura County,4,2.5,,1737,10318,1.620430386
133,17084789,215209,Ventura County,4,1.5,,2003,7465,1.620430386
134,17084958,152908,Ventura County,4,2.5,,2954,4500,1.620430386
135,17085127,1293527,Ventura County,4,4,,3002,4500,1.620430386
136,17085833,56036,Ventura County,3,1,,1148,3591,1.620430386
137,17085956,89706,Ventura County,2,1,,1241,2831,1.620430386
138,17085979,61112,Ventura County,4,1,,1037,4120,1.620430386
139,17086025,1194000,Ventura County,3,2.5,,2472,3658,1.620430386
140,17086301,141895,Ventura County,5,2.5,,2398,7181,1.620430386
141,17086439,68758,Ventura County,3,2,,1441,7944,1.620430386
142,17086539,340740,Ventura County,3,2,,1380,7638,1.620430386
143,17086562,107169,Ventura County,4,2,,2185,19627,1.620430386
144,17086769,329732,Ventura County,4,2,,1771,9050,1.620430386
145,17086869,230910,Ventura County,3,2,,1373,7723,1.620430386
146,17086969,410792,Ventura County,3,3,,1994,7381,1.620430386
147,17087338,367768,Ventura County,3,2,,1275,12777,1.620430386
148,17087659,57016,Ventura County,3,2,,1285,6181,1.620430386
149,17088082,278937,Ventura County,4,2,,1561,9203,1.620430386
150,17088174,391000,Ventura County,4,2,,1344,3850,1.620430386
151,17090186,406285,Ventura County,3,2,,1638,7271,1.620430386
152,17090585,493000,Ventura County,4,2,,1734,7431,1.620430386
153,17090869,628000,Ventura County,3,3,,2230,8205,1.620430386
154,17091069,320292,Ventura County,3,2,,1766,6000,1.620430386
155,17091092,585000,Ventura County,4,2.5,,1866,6000,1.620430386
156,17091192,275463,Ventura County,4,2,,1581,11500,1.620430386
157,17091307,60088,Ventura County,4,2,,1669,11710,1.620430386
158,17091430,281767,Ventura County,5,2.5,,1718,7275,1.620430386
159,17091607,316258,Ventura County,4,3,,1988,8400,1.620430386
160,17091730,317363,Ventura County,5,3.5,,2470,7056,1.620430386
161,17092083,601000,Ventura County,4,3,,2457,5533,1.620430386
162,17092710,534680,Ventura County,4,3,,2477,6325,1.620430386
163,17092810,608000,Ventura County,4,3,,2048,6105,1.620430386
164,17092856,245123,Ventura County,3,2,,1244,7920,1.620430386
